Navire,IMO,Type,Port,Date_arrivee_rade,Date_depart_rade,Duree_en_rade,Duree_en_rade_heures,Raison,Jauge_brute_GT,Longueur_LOA_m,Tirant_eau_m,Navires_en_attente_rade,Indice_congestion_port,Conditions_meteo,Poste_a_quai_assigne,Jour_semaine,Mois,Annee
MSC/CMA Star 8,IMO9996519,Porte-conteneurs,Port d'Alger,2022-01-01 02:30,2022-01-02 23:51,45h22,45.36,Attente poste à quai,67565,286.8,16.4,10,0.82,Beau temps,Q4,Samedi,1,2022
MT Aurès 7,IMO9517033,Pétrolier,Port d'Alger,2022-01-03 01:45,2022-01-05 05:17,51h32,51.54,Attente pilote,37299,194.4,12.7,7,0.64,Houle,Q9,Lundi,1,2022
MT Ocean 8,IMO9819065,Pétrolier,Port d'Alger,2022-01-08 12:05,2022-01-22 06:41,330h36,330.6,Encombrement quai sévère,17191,202.4,14.0,22,0.82,Mer agitée,Q3,Samedi,1,2022
MV Voyager 1,IMO9588508,Vraquier,Port d'Alger,2022-01-11 02:00,2022-01-13 09:35,55h36,55.6,Encombrement quai,27798,219.0,12.1,4,0.16,Beau temps,Q2,Mardi,1,2022
MV Levant 1,IMO9240174,Céréalier,Port d'Alger,2022-01-12 03:45,2022-01-14 02:22,46h37,46.62,Attente poste à quai,56601,216.1,14.6,2,0.11,Beau temps,Q9,Mercredi,1,2022
MV Bouzaréah 6,IMO9616113,Vraquier,Port d'Alger,2022-01-20 14:30,2022-01-22 06:17,39h47,39.79,Encombrement quai,64086,165.0,11.3,2,0.05,Beau temps,Q12,Jeudi,1,2022
MV Emeraude 7,IMO9082627,Vraquier,Port d'Alger,2022-01-20 15:15,2022-01-23 19:12,75h58,75.96,Encombrement quai,45450,218.8,13.3,4,0.66,Brouillard,Q7,Jeudi,1,2022
MV Atlantic 6,IMO9420651,Cimentier,Port d'Alger,2022-01-21 16:20,2022-01-23 12:14,43h55,43.91,Mauvais temps,21028,148.6,9.4,2,0.1,Beau temps,Q4,Vendredi,1,2022
MT Hoggar 7,IMO9526195,Pétrolier,Port d'Alger,2022-02-08 14:40,2022-02-10 12:04,45h25,45.41,Contrôle douanier,32093,220.7,12.3,3,0.71,Vent fort,Q12,Mardi,2,2022
MV Sahara 9,IMO9337226,Cimentier,Port d'Alger,2022-02-09 12:40,2022-02-10 20:10,31h30,31.5,Attente poste à quai,19699,129.9,8.3,3,0.68,Beau temps,Q1,Mercredi,2,2022
RoRo Mitidja 7,IMO9894905,Roulier (Ro-Ro),Port d'Alger,2022-02-10 18:45,2022-02-11 11:40,16h56,16.93,Attente autorisation,13664,127.1,7.2,2,0.05,Houle,Q9,Jeudi,2,2022
MV Aurès 7,IMO9168720,Vraquier,Port d'Alger,2022-02-11 10:30,2022-02-13 13:58,51h29,51.48,Attente poste à quai,27227,211.0,11.6,4,0.68,Vent fort,Q6,Vendredi,2,2022
MSC/CMA Atlantic 6,IMO9905674,Porte-conteneurs,Port d'Alger,2022-02-23 02:40,2022-02-26 03:17,72h37,72.62,Encombrement quai,80584,279.7,17.8,12,0.79,Beau temps,Q7,Mercredi,2,2022
MT Sahel 3,IMO9225772,Pétrolier,Port d'Alger,2022-02-23 19:30,2022-02-25 08:18,36h48,36.8,Attente pilote,46141,208.7,12.0,4,0.3,Vent fort,Q6,Mercredi,2,2022
MV Zaccar 1,IMO9693384,Vraquier,Port d'Alger,2022-02-25 02:45,2022-02-26 16:37,37h53,37.88,Attente marchandise,37165,178.5,10.1,3,0.05,Beau temps,Q7,Vendredi,2,2022
MV Atlantic 5,IMO9871662,Vraquier,Port d'Alger,2022-02-25 23:50,2022-02-28 18:59,67h10,67.16,Encombrement quai,19998,209.0,12.0,5,0.73,Mer agitée,Q11,Vendredi,2,2022
MT Hoggar 5,IMO9735911,Pétrolier,Port d'Alger,2022-02-26 12:00,2022-03-01 00:01,60h01,60.02,Attente autorisation,30992,192.2,10.7,7,0.85,Vent fort,Q4,Samedi,2,2022
MSC/CMA Endeavour 4,IMO9877340,Porte-conteneurs,Port d'Alger,2022-02-27 22:40,2022-03-02 20:47,70h08,70.13,Attente grue,36715,225.7,13.5,9,0.84,Brouillard,Q9,Dimanche,2,2022
MV Bouzaréah 2,IMO9720775,Céréalier,Port d'Alger,2022-03-08 07:30,2022-03-10 22:40,63h11,63.18,Attente marchandise,29079,216.4,14.4,5,0.1,Beau temps,Q11,Mardi,3,2022
MV Pioneer 2,IMO9619176,Céréalier,Port d'Alger,2022-03-08 14:30,2022-03-10 01:09,34h40,34.66,Attente poste à quai,60772,165.5,10.0,9,0.5,Beau temps,Q4,Mardi,3,2022
RoRo Sahara 8,IMO9800152,Roulier (Ro-Ro),Port d'Alger,2022-03-08 19:15,2022-03-09 18:19,23h04,23.07,Attente poste à quai,34540,142.5,9.7,3,0.31,Beau temps,Q9,Mardi,3,2022
MT Levant 4,IMO9071269,Pétrolier,Port d'Alger,2022-03-11 02:00,2022-03-13 01:31,47h32,47.53,Attente poste à quai,64155,233.8,15.9,7,0.66,Vent fort,Q4,Vendredi,3,2022
MV Zaccar 4,IMO9690420,Vraquier,Port d'Alger,2022-03-14 06:10,2022-03-20 18:10,156h00,156.0,Conflit social au port,26617,157.0,10.2,19,0.9,Mer agitée,Q12,Lundi,3,2022
MV Emeraude 1,IMO9876822,Vraquier,Port d'Alger,2022-03-18 05:45,2022-03-20 20:08,62h24,62.39,Encombrement quai,35007,126.4,8.8,8,0.69,Beau temps,Q3,Vendredi,3,2022
MSC/CMA Pioneer 4,IMO9171339,Porte-conteneurs,Port d'Alger,2022-03-26 00:10,2022-03-28 01:28,49h19,49.31,Encombrement quai,29924,151.8,9.3,4,0.63,Vent fort,Q11,Samedi,3,2022
RoRo Mitidja 4,IMO9784645,Roulier (Ro-Ro),Port d'Alger,2022-03-27 00:45,2022-03-29 03:28,50h43,50.72,Attente pilote,9744,186.9,11.7,7,0.95,Vent fort,Q6,Dimanche,3,2022
MV Pioneer 5,IMO9077103,Vraquier,Port d'Alger,2022-04-03 12:00,2022-04-06 22:55,82h56,82.93,Encombrement quai,62494,142.1,8.0,10,0.65,Beau temps,Q9,Dimanche,4,2022
MSC/CMA Horizon 6,IMO9454730,Porte-conteneurs,Port d'Alger,2022-04-04 09:30,2022-04-07 07:07,69h37,69.62,Attente pilote,61779,295.0,18.8,11,1.0,Houle,Q6,Lundi,4,2022
MV Numidia 8,IMO9562275,Vraquier,Port d'Alger,2022-04-05 10:00,2022-04-07 05:40,43h40,43.67,Attente déchargement,25154,197.9,11.1,3,0.34,Beau temps,Q9,Mardi,4,2022
MV Emeraude 1,IMO9579720,Vraquier,Port d'Alger,2022-04-05 15:40,2022-04-08 11:11,67h31,67.52,Encombrement quai,33888,165.4,11.4,6,0.85,Vent fort,Q4,Mardi,4,2022
MV Ocean 6,IMO9578944,Cimentier,Port d'Alger,2022-04-07 12:45,2022-04-10 10:35,69h51,69.84,Mauvais temps,15473,136.2,7.7,10,0.93,Beau temps,Q5,Jeudi,4,2022
MV Hoggar 1,IMO9146942,Vraquier,Port d'Alger,2022-04-10 07:00,2022-04-12 18:42,59h42,59.71,Attente marchandise,11225,161.1,11.1,6,0.45,Beau temps,Q4,Dimanche,4,2022
MSC/CMA Atlas 1,IMO9723255,Porte-conteneurs,Port d'Alger,2022-04-10 19:00,2022-04-13 01:16,54h17,54.28,Attente grue,103370,154.6,10.5,6,0.98,Beau temps,Q7,Dimanche,4,2022
RoRo Baltic 4,IMO9636553,Roulier (Ro-Ro),Port d'Alger,2022-04-11 19:50,2022-04-13 00:48,28h58,28.97,Attente poste à quai,17931,156.4,8.6,4,0.41,Vent fort,Q11,Lundi,4,2022
MV Kabylie 3,IMO9668061,Vraquier,Port d'Alger,2022-04-15 02:45,2022-04-17 00:54,46h10,46.16,Attente déchargement,8820,132.8,7.4,4,0.35,Brouillard,Q12,Vendredi,4,2022
MSC/CMA Meridian 3,IMO9078501,Porte-conteneurs,Port d'Alger,2022-04-22 00:15,2022-04-24 12:00,59h46,59.76,Encombrement quai,49307,202.4,12.9,8,1.0,Vent fort,Q4,Vendredi,4,2022
MT Ocean 8,IMO9209374,Pétrolier,Port d'Alger,2022-04-22 11:00,2022-04-24 10:25,47h25,47.42,Attente autorisation,86435,174.7,11.9,6,0.72,Beau temps,Q3,Vendredi,4,2022
MV Levant 1,IMO9240174,Céréalier,Port d'Alger,2022-04-23 09:15,2022-04-26 10:31,73h17,73.28,Attente poste à quai,42848,211.2,14.8,8,0.67,Beau temps,Q3,Samedi,4,2022
MV Zaccar 1,IMO9693384,Vraquier,Port d'Alger,2022-04-26 11:10,2022-04-29 05:57,66h48,66.79,Attente marchandise,29425,163.4,10.1,9,0.33,Beau temps,Q5,Mardi,4,2022
MV Ocean 3,IMO9999072,Cimentier,Port d'Alger,2022-04-28 02:45,2022-04-30 11:55,57h10,57.17,Mauvais temps,26780,153.6,10.3,7,0.54,Beau temps,Q11,Jeudi,4,2022
MV Mitidja 2,IMO9896865,Vraquier,Port d'Alger,2022-04-29 07:10,2022-05-01 22:39,63h30,63.49,Attente déchargement,11622,154.2,9.2,8,0.35,Vent fort,Q3,Vendredi,4,2022
MV Neptune 1,IMO9626727,Cimentier,Port d'Alger,2022-04-30 13:35,2022-05-09 04:39,207h04,207.07,Encombrement quai sévère,19060,138.9,7.8,14,0.9,Vent fort,Q9,Samedi,4,2022
MSC/CMA Aurès 6,IMO9738253,Porte-conteneurs,Port d'Alger,2022-05-02 18:40,2022-05-04 15:15,44h36,44.6,Encombrement quai,23064,203.2,12.9,6,0.52,Beau temps,Q9,Lundi,5,2022
MV Aurès 4,IMO9014673,Vraquier,Port d'Alger,2022-05-04 01:10,2022-05-11 03:36,170h26,170.44,Encombrement quai sévère,45497,231.9,7.8,12,0.98,Vent fort,Q11,Mercredi,5,2022
MSC/CMA Corniche 7,IMO9735901,Porte-conteneurs,Port d'Alger,2022-05-04 12:30,2022-05-06 00:15,35h46,35.76,Attente pilote,81539,239.0,13.2,6,0.78,Beau temps,Q5,Mercredi,5,2022
MSC/CMA Ocean 8,IMO9551002,Porte-conteneurs,Port d'Alger,2022-05-08 22:15,2022-05-10 21:46,47h31,47.52,Attente pilote,43391,276.4,16.5,12,0.9,Beau temps,Q8,Dimanche,5,2022
MV Horizon 4,IMO9753448,Vraquier,Port d'Alger,2022-05-09 03:50,2022-05-11 04:53,49h03,49.05,Encombrement quai,56485,181.7,11.4,4,0.43,Beau temps,Q1,Lundi,5,2022
MV Emeraude 9,IMO9111291,Vraquier,Port d'Alger,2022-05-10 23:00,2022-05-13 09:50,58h51,58.85,Attente marchandise,37054,153.0,8.8,5,1.0,Beau temps,Q10,Mardi,5,2022
MSC/CMA Cirta 8,IMO9528313,Porte-conteneurs,Port d'Alger,2022-05-11 15:50,2022-05-13 01:32,33h42,33.71,Attente poste à quai,74914,154.6,10.7,6,0.41,Beau temps,Q12,Mercredi,5,2022
MV Emeraude 8,IMO9033276,Vraquier,Port d'Alger,2022-05-11 17:00,2022-05-13 16:56,47h56,47.94,Attente déchargement,48431,138.4,9.2,6,0.66,Beau temps,Q3,Mercredi,5,2022
MV Cristal 6,IMO9128479,Vraquier,Port d'Alger,2022-05-13 06:50,2022-05-15 17:25,58h35,58.58,Encombrement quai,35576,166.0,10.0,8,0.8,Beau temps,Q1,Vendredi,5,2022
MT Hoggar 5,IMO9735911,Pétrolier,Port d'Alger,2022-05-18 08:10,2022-05-20 14:20,54h11,54.18,Attente pilote,74253,165.3,10.0,8,1.0,Beau temps,Q6,Mercredi,5,2022
MSC/CMA Baltic 6,IMO9139890,Porte-conteneurs,Port d'Alger,2022-05-19 11:20,2022-05-20 22:13,34h54,34.89,Encombrement quai,62380,297.7,19.8,1,0.4,Beau temps,Q11,Jeudi,5,2022
RoRo Hoggar 1,IMO9651517,Roulier (Ro-Ro),Port d'Alger,2022-05-21 20:00,2022-05-22 21:27,25h27,25.45,Attente poste à quai,13970,142.8,8.2,5,0.27,Beau temps,Q8,Samedi,5,2022
MT Levant 9,IMO9347235,Pétrolier,Port d'Alger,2022-05-23 08:40,2022-05-24 20:57,36h17,36.29,Attente poste à quai,53962,194.2,13.3,2,0.3,Houle,Q5,Lundi,5,2022
MV Atlantic 9,IMO9562632,Vraquier,Port d'Alger,2022-05-25 10:20,2022-06-03 14:06,219h46,219.77,Grève des dockers,66199,160.9,12.7,19,0.81,Vent fort,Q11,Mercredi,5,2022
RoRo Djurdjura 7,IMO9902628,Roulier (Ro-Ro),Port d'Alger,2022-05-26 16:00,2022-05-28 07:32,39h32,39.54,Attente autorisation,21644,163.9,9.4,8,0.84,Houle,Q6,Jeudi,5,2022
MV Poseidon 2,IMO9709570,Vraquier,Port d'Alger,2022-05-26 22:00,2022-05-28 22:09,48h09,48.15,Attente poste à quai,37571,197.3,11.9,5,0.23,Houle,Q9,Jeudi,5,2022
MV Kabylie 1,IMO9901384,Vraquier,Port d'Alger,2022-05-29 02:50,2022-06-03 21:18,138h28,138.47,Saturation totale du port,49360,232.9,11.4,15,0.84,Vent fort,Q8,Dimanche,5,2022
MSC/CMA Neptune 7,IMO9518392,Porte-conteneurs,Port d'Alger,2022-05-30 14:45,2022-05-31 23:53,33h08,33.14,Attente pilote,118663,172.6,11.0,7,0.36,Beau temps,Q11,Lundi,5,2022
MV Levant 1,IMO9240174,Céréalier,Port d'Alger,2022-05-31 02:30,2022-06-03 19:53,89h23,89.39,Attente silo disponible,44325,152.7,9.9,11,0.82,Vent fort,Q12,Mardi,5,2022
MT Ocean 9,IMO9361249,Pétrolier,Port d'Alger,2022-06-01 04:40,2022-06-03 02:31,45h52,45.86,Attente autorisation,55763,201.3,12.0,6,0.79,Beau temps,Q3,Mercredi,6,2022
MSC/CMA Emeraude 7,IMO9570053,Porte-conteneurs,Port d'Alger,2022-06-01 14:50,2022-06-04 06:28,63h38,63.64,Encombrement quai,75300,250.1,16.7,15,1.0,Beau temps,Q12,Mercredi,6,2022
MSC/CMA Endeavour 8,IMO9714220,Porte-conteneurs,Port d'Alger,2022-06-04 05:50,2022-06-06 03:46,45h56,45.94,Encombrement quai,42280,264.0,15.1,2,0.56,Houle,Q11,Samedi,6,2022
MSC/CMA Bouzaréah 9,IMO9830281,Porte-conteneurs,Port d'Alger,2022-06-07 20:10,2022-06-09 09:04,36h55,36.91,Attente poste à quai,84232,284.3,18.4,6,0.66,Vent fort,Q8,Mardi,6,2022
MV Voyager 5,IMO9027121,Céréalier,Port d'Alger,2022-06-14 19:00,2022-06-17 17:32,70h33,70.55,Attente poste à quai,50572,162.3,11.2,4,0.48,Beau temps,Q11,Mardi,6,2022
